id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/802189	10.2307/802189	News and Notes	J. L. Haney	The English Journal	9	5	1920-05-01T00:00:00Z	pp. 289-298	National Council of Teachers of English	mis			
10.2307/802678	10.2307/802678	News and Notes		The English Journal	11	1	1922-01-01T00:00:00Z	pp. 64-66	National Council of Teachers of English	mis			
10.2307/802736	10.2307/802736	An Hour with Poe	Louise A. Wilson	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 673-674	National Council of Teachers of English	fla			
10.2307/802623	10.2307/802623	The Spirit of Modern American Poetry	Louis Untermeyer	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 89-99	National Council of Teachers of English	fla			
10.2307/802595	10.2307/802595	An Experimental Course in Literature other than American	W. J. Colahan	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 483-485	National Council of Teachers of English	fla			
10.2307/802526	10.2307/802526	Editorial: The Long Vacation		The English Journal	10	6	1921-06-01T00:00:00Z	pp. 349-350	National Council of Teachers of English	fla			
10.2307/802866	10.2307/802866	The Teaching of Composition and Literature in the High Schools of Indiana	Lucian G. Hickman	The English Journal	10	3	1921-03-01T00:00:00Z	pp. 142-159	National Council of Teachers of English	fla			
10.2307/802993	10.2307/802993	The Riverbank Theater	Pearl LeCompte	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 283-286	National Council of Teachers of English	fla			
10.2307/801877	10.2307/801877	Front Matter		The English Journal	11	5	1922-05-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802969	10.2307/802969	Perspective in Education	J. F. H.	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 114-115	National Council of Teachers of English	brv	Public Education in the United States|Ellwood P. Cubberley		
10.2307/801942	10.2307/801942	Dangers and Possibilities of the Project	Melissa A. Jones	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 497-501	National Council of Teachers of English	fla			
10.2307/802896	10.2307/802896	Front Matter		The English Journal	14	10	1925-12-01T00:00:00Z	p. 825	National Council of Teachers of English	mis			
10.2307/801907	10.2307/801907	Back Matter		The English Journal	13	1	1924-01-01T00:00:00Z	p. 88	National Council of Teachers of English	mis			
10.2307/802122	10.2307/802122	Education for Leisure as Well as for Vocation	Althea A. Payne	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 208-216	National Council of Teachers of English	fla			
10.2307/801960	10.2307/801960	Illustrative Material for High-School Literature. V	Jane Anderson Hilson, Katherine E. Wheeling	The English Journal	12	3	1923-03-01T00:00:00Z	pp. 189-200	National Council of Teachers of English	mis			
10.2307/801987	10.2307/801987	Shadows of Coming Textbooks	W. Wilbur Hatfield	The English Journal	14	3	1925-03-01T00:00:00Z	p. 255	National Council of Teachers of English	brv	General Language|Sterling A. Leonard;Riah Fagan Cox		
10.2307/802093	10.2307/802093	The Study Club: Bryant's "To a Waterfowl"	H. G. Paul	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 248-250	National Council of Teachers of English	fla			
10.2307/802676	10.2307/802676	Notes on the Short Story	R. W. Pence	The English Journal	11	1	1922-01-01T00:00:00Z	pp. 28-37	National Council of Teachers of English	fla			
10.2307/802705	10.2307/802705	Traps for Freshman--And Seniors	Susan E. Wilcox	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 324-326	National Council of Teachers of English	fla			
10.2307/801881	10.2307/801881	The Humor of "Roast Pig"	Clarence S. Dike	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 288-292	National Council of Teachers of English	fla			
10.2307/802017	10.2307/802017	Slanging English Words	R. W. Cowden	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 697-706	National Council of Teachers of English	fla			
10.2307/802908	10.2307/802908	Editorial: A Dangerous Half-Truth		The English Journal	14	10	1925-12-01T00:00:00Z	pp. 809-810	National Council of Teachers of English	fla			
10.2307/802399	10.2307/802399	Book Notices		The English Journal	11	9	1922-11-01T00:00:00Z	pp. 596-598	National Council of Teachers of English	mis			
10.2307/802127	10.2307/802127	News and Notes	Mary V. Riblet, H. Y. Moffett, Edna E. Bowman	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 228-234	National Council of Teachers of English	mis			
10.2307/802237	10.2307/802237	The Rational Teaching of Syntax	Kenneth W. Wright	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 689-692	National Council of Teachers of English	fla			
10.2307/802597	10.2307/802597	Rondeau in a Classroom	Miriam Brown	The English Journal	14	6	1925-06-01T00:00:00Z	p. 486	National Council of Teachers of English	fla			
10.2307/802667	10.2307/802667	News and Notes	Claudia Crumpton	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 478-488	National Council of Teachers of English	mis			
10.2307/802459	10.2307/802459	Teaching English with the Movies	Adelaide Cunningham	The English Journal	12	7	1923-09-01T00:00:00Z	pp. 488-490	National Council of Teachers of English	fla			
10.2307/802765	10.2307/802765	Book Notices		The English Journal	11	7	1922-09-01T00:00:00Z	pp. 450+452-453	National Council of Teachers of English	mis			
10.2307/802194	10.2307/802194	Pegasus and Kit	Charles Robert Gaston	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 83-93	National Council of Teachers of English	fla			
10.2307/802974	10.2307/802974	A Question of Motive	Otelia Cromwell	The English Journal	9	9	1920-11-01T00:00:00Z	pp. 509-518	National Council of Teachers of English	fla			
10.2307/802197	10.2307/802197	The Voluntary Reading of High-School Pupils	Hannah Logasa	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 98-106	National Council of Teachers of English	fla			
10.2307/801914	10.2307/801914	A Side Light on Dramatization	Katherine G. Wightman	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 348-349	National Council of Teachers of English	fla			
10.2307/802994	10.2307/802994	Shakespeare and Life	Lewis G. Sterner	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 286-287	National Council of Teachers of English	fla			
10.2307/802054	10.2307/802054	Stevenson as a Point of Departure	Carrie Belle Parks	The English Journal	11	2	1922-02-01T00:00:00Z	pp. 95-99	National Council of Teachers of English	fla			
10.2307/802322	10.2307/802322	Modern English Novelists: John Galsworthy	J. B. Priestley	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 347-355	National Council of Teachers of English	fla			
10.2307/802021	10.2307/802021	In Defense of John Citizen, Jr.	Jeannette Collins	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 720-723	National Council of Teachers of English	fla			
10.2307/803012	10.2307/803012	The Magic of Words	Lynn Harold Hough	The English Journal	10	9	1921-11-01T00:00:00Z	p. 536	National Council of Teachers of English	fla			
10.2307/802646	10.2307/802646	When Greek Meets Anglo-Saxon	G. R. Elliott	The English Journal	9	3	1920-03-01T00:00:00Z	pp. 153-155	National Council of Teachers of English	fla			
10.2307/802386	10.2307/802386	Humanizing English Literature	Gertrude Booth Heard	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 545-553	National Council of Teachers of English	fla			
10.2307/802396	10.2307/802396	An Enjoyable Novel	Jessie E. Sherman	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 592-593	National Council of Teachers of English	brv	Memoirs of a Midget|Walter de la Mare		
10.2307/801937	10.2307/801937	American Authors of Today: II. Robert Frost	Percy H. Boynton	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 455-462	National Council of Teachers of English	fla			
10.2307/802232	10.2307/802232	Modern American Drama	Arthur Hobson Quinn	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 653-662	National Council of Teachers of English	fla			
10.2307/802239	10.2307/802239	A Better Reading Campaign	Helen L. Reets	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 696-697	National Council of Teachers of English	fla			
10.2307/802605	10.2307/802605	Front Matter		The English Journal	12	4	1923-04-01T00:00:00Z		National Council of Teachers of English	mis			
