id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract	mystery
10.2307/801083	10.2307/801083	American Literature for American Schools	H. E. Fowler	The English Journal	6	10	1917-12-01T00:00:00Z	pp. 637-644	National Council of Teachers of English	fla			
10.2307/801760	10.2307/801760	Book Notices		The English Journal	7	9	1918-11-01T00:00:00Z	pp. 612-613	National Council of Teachers of English	mis			
10.2307/801427	10.2307/801427	An Unfenced Corner of the Spelling Field	John A. Lester	The English Journal	8	6	1919-06-01T00:00:00Z	pp. 374-378	National Council of Teachers of English	fla			
10.2307/801437	10.2307/801437	Going Forth to the Philistines	Thacher H. Guild	The English Journal	1	7	1912-09-01T00:00:00Z	pp. 412-418	National Council of Teachers of English	fla			
10.2307/801591	10.2307/801591	Freshman English Once More	Frederick A. Manchester	The English Journal	6	5	1917-05-01T00:00:00Z	pp. 295-307	National Council of Teachers of English	fla			
10.2307/801218	10.2307/801218	News and Notes	Blanche True, Inez Parshall, William E. Mead, Charles P. G. Scott, Percy W. Long, George Davis Chase, Charles H. Grandgent, Edward S. Sheldon	The English Journal	4	10	1915-12-01T00:00:00Z	pp. 675-680	National Council of Teachers of English	mis			
10.2307/801713	10.2307/801713	"Functional" Tests	W. Wilbur Hatfield	The English Journal	5	10	1916-12-01T00:00:00Z	pp. 696-702	National Council of Teachers of English	fla			
10.2307/801735	10.2307/801735	Clytie: A Lyrical Play for Children	Mary Ethel Courtenay	The English Journal	1	3	1912-03-01T00:00:00Z	pp. 138-145	National Council of Teachers of English	fla			
10.2307/801542	10.2307/801542	Protecting the Theme-Reader	Homer A. Watt	The English Journal	8	3	1919-03-01T00:00:00Z	pp. 164-173	National Council of Teachers of English	fla			
10.2307/802446	10.2307/802446	The Open Road	T. Buell Card	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 112-113	National Council of Teachers of English	fla			
10.2307/802657	10.2307/802657	Our Pragmatic Language	W. P. Reeves	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 431-439	National Council of Teachers of English	fla			
10.2307/801132	10.2307/801132	National Council of Teachers of English: Proceedings of the Eighth Annual Meeting Chicago, February 26-27, 1919		The English Journal	8	4	1919-04-01T00:00:00Z	pp. 254-278	National Council of Teachers of English	mis			
10.2307/800892	10.2307/800892	The Play Producer's Notebook	J. Milnor Dorey	The English Journal	7	5	1918-05-01T00:00:00Z	p. 334	National Council of Teachers of English	fla			
10.2307/800837	10.2307/800837	Modern Literature for High-School Use	Wilbur W. Hatfield	The English Journal	1	1	1912-01-01T00:00:00Z	p. 52	National Council of Teachers of English	fla			
10.2307/801031	10.2307/801031	Book Notices		The English Journal	2	9	1913-11-01T00:00:00Z	pp. 606-607	National Council of Teachers of English	mis			
10.2307/801273	10.2307/801273	Shall We Teach the History of Literature in High School?	Elizabeth Lodor	The English Journal	6	9	1917-11-01T00:00:00Z	pp. 601-608	National Council of Teachers of English	fla			
10.2307/801321	10.2307/801321	A Use for the Textbook of "Thought"	E. W. Dolch, Jr.	The English Journal	5	6	1916-06-01T00:00:00Z	p. 422	National Council of Teachers of English	fla			
10.2307/801198	10.2307/801198	Variety in Assignments for Written Composition	Laura D. Parkinson	The English Journal	7	6	1918-06-01T00:00:00Z	pp. 371-376	National Council of Teachers of English	fla			
10.2307/801211	10.2307/801211	A Survey of the Teaching of Composition in the Northwest	William R. Davis	The English Journal	4	10	1915-12-01T00:00:00Z	pp. 639-646	National Council of Teachers of English	fla			
10.2307/801818	10.2307/801818	The Anniversary of the Council	E. H. Kemper McComb	The English Journal	5	1	1916-01-01T00:00:00Z	pp. 1-9	National Council of Teachers of English	fla			
